date,region,support_tickets,avg_shipping_days,unit_price_usd
2026-04-24,Northeast,11,2.61,48.0
2026-04-25,Northeast,11,2.94,48.0
2026-04-26,Northeast,10,3.54,48.0
2026-04-27,Northeast,9,3.31,48.0
2026-04-28,Northeast,8,3.46,48.0
2026-04-29,Northeast,10,3.57,48.0
2026-04-30,Northeast,10,3.36,48.0
2026-05-01,Northeast,8,3.32,48.0
2026-05-02,Northeast,11,2.96,48.0
2026-05-03,Northeast,9,3.17,48.0
2026-05-04,Northeast,9,3.4,48.0
2026-05-05,Northeast,11,3.0,48.0
2026-05-06,Northeast,10,3.46,48.0
2026-05-07,Northeast,8,3.4,48.0
2026-05-08,Northeast,8,3.29,48.0
2026-05-09,Northeast,11,3.01,48.0
2026-05-10,Northeast,8,3.65,48.0
2026-05-11,Northeast,10,3.1,48.0
2026-05-12,Northeast,10,3.44,48.0
2026-05-13,Northeast,8,3.06,48.0
2026-05-14,Northeast,8,3.14,48.0
2026-05-15,Northeast,9,2.92,48.0
2026-05-16,Northeast,9,3.41,48.0
2026-05-17,Northeast,11,3.34,48.0
2026-05-18,Northeast,8,3.09,48.0
2026-05-19,Northeast,8,2.84,48.0
2026-05-20,Northeast,9,3.2,48.0
2026-05-21,Northeast,8,3.33,48.0
2026-05-22,Northeast,9,3.07,48.0
2026-05-23,Northeast,10,2.8,48.0
2026-05-24,Northeast,11,3.59,48.0
2026-05-25,Northeast,11,2.91,48.0
2026-05-26,Northeast,10,3.33,48.0
2026-05-27,Northeast,9,2.77,48.0
2026-05-28,Northeast,11,3.68,48.0
2026-05-29,Northeast,9,3.25,48.0
2026-05-30,Northeast,8,3.61,48.0
2026-05-31,Northeast,9,3.64,48.0
2026-06-01,Northeast,9,2.92,48.0
2026-06-02,Northeast,9,3.39,48.0
2026-06-03,Northeast,8,2.76,48.0
2026-06-04,Northeast,10,3.8,48.0
2026-06-05,Northeast,11,3.28,48.0
2026-06-06,Northeast,9,3.02,48.0
2026-06-07,Northeast,8,3.52,48.0
2026-06-08,Northeast,9,2.89,48.0
2026-06-09,Northeast,8,3.05,48.0
2026-06-10,Northeast,9,3.73,48.0
2026-06-11,Northeast,9,3.05,48.0
2026-06-12,Northeast,9,2.98,48.0
2026-06-13,Northeast,11,3.48,48.0
2026-06-14,Northeast,9,3.19,48.0
2026-06-15,Northeast,9,3.06,48.0
2026-06-16,Northeast,14,3.59,48.0
2026-06-17,Northeast,10,3.33,48.0
