month,region,product_line,revenue_usd,marketing_spend_usd,competitor_price_index
2025-03-01,Northeast,Core,989441,60396,101.2
2025-04-01,Northeast,Core,981419,62354,101.3
2025-05-01,Northeast,Core,967932,54576,102.3
2025-06-01,Northeast,Core,983850,54857,98.9
2025-07-01,Northeast,Core,991578,59161,99.2
2025-08-01,Northeast,Core,1001013,56858,98.8
2025-09-01,Northeast,Core,983171,61171,100.7
2025-10-01,Northeast,Core,993669,60596,100.7
2025-11-01,Northeast,Core,976112,60188,100.2
2025-12-01,Northeast,Core,983226,62318,100.8
2026-01-01,Northeast,Core,980663,57573,100.1
2026-02-01,Northeast,Core,979580,60580,103.3
2026-03-01,Northeast,Core,972143,61267,101.6
2026-04-01,Northeast,Core,981470,67014,99.4
2026-05-01,Northeast,Core,984861,57604,99.5
2026-06-01,Northeast,Core,983734,62539,100.5
2026-07-01,Northeast,Core,998887,59715,99.5
2026-08-01,Northeast,Core,882000,61183,98.9
2025-03-01,Midwest,Core,799586,45172,101.4
2025-04-01,Midwest,Core,804534,48382,99.9
2025-05-01,Midwest,Core,820972,45460,98.4
2025-06-01,Midwest,Core,813364,49803,100.5
2025-07-01,Midwest,Core,797858,50032,98.9
2025-08-01,Midwest,Core,802177,45168,102.0
2025-09-01,Midwest,Core,819501,49815,101.9
2025-10-01,Midwest,Core,852190,42872,98.9
2025-11-01,Midwest,Core,800757,45448,98.4
2025-12-01,Midwest,Core,805505,44350,100.5
2026-01-01,Midwest,Core,810775,49443,100.8
2026-02-01,Midwest,Core,819045,46880,103.2
2026-03-01,Midwest,Core,813516,42413,98.5
2026-04-01,Midwest,Core,783892,48052,99.8
2026-05-01,Midwest,Core,802974,54033,100.8
2026-06-01,Midwest,Core,820891,45207,98.5
2026-07-01,Midwest,Core,810552,48519,97.2
2026-08-01,Midwest,Core,807295,48042,99.7
2025-03-01,South,Core,847799,50381,99.7
2025-04-01,South,Core,861362,53814,101.6
2025-05-01,South,Core,855585,50632,100.7
2025-06-01,South,Core,869163,50697,101.2
2025-07-01,South,Core,874694,55875,102.7
2025-08-01,South,Core,847004,52042,100.0
2025-09-01,South,Core,858529,50052,97.8
2025-10-01,South,Core,861390,49695,100.1
2025-11-01,South,Core,848089,48701,100.4
2025-12-01,South,Core,862264,53738,103.3
2026-01-01,South,Core,864159,53455,98.4
2026-02-01,South,Core,840696,56748,98.6
2026-03-01,South,Core,844341,51883,99.9
2026-04-01,South,Core,846462,51085,101.8
2026-05-01,South,Core,847910,47819,101.4
2026-06-01,South,Core,867384,50138,97.6
2026-07-01,South,Core,848831,51836,101.7
2026-08-01,South,Core,844451,51746,101.0
2025-03-01,West,Core,1014281,73101,98.2
2025-04-01,West,Core,1054980,70740,101.6
2025-05-01,West,Core,1058264,62868,98.8
2025-06-01,West,Core,1052073,69415,100.7
2025-07-01,West,Core,1061840,71825,99.7
2025-08-01,West,Core,1022305,68634,100.6
2025-09-01,West,Core,1033643,71894,101.4
2025-10-01,West,Core,1051903,60809,98.1
2025-11-01,West,Core,1078293,68360,97.0
2025-12-01,West,Core,1068529,70040,101.7
2026-01-01,West,Core,1054154,71376,100.5
2026-02-01,West,Core,1060462,76832,101.5
2026-03-01,West,Core,1026295,71340,101.7
2026-04-01,West,Core,1068041,68720,101.7
2026-05-01,West,Core,1063916,77718,98.9
2026-06-01,West,Core,1042389,69082,99.3
2026-07-01,West,Core,1036650,87500,92.7
2026-08-01,West,Core,1042602,87500,91.0
2026-06-01,Northeast,Product X (New Launch),40523,15826,
2026-07-01,Northeast,Product X (New Launch),52558,16369,
2026-08-01,Northeast,Product X (New Launch),64112,15496,
