week_start,region,units_sold,repeat_order_pct,new_customers
2026-02-21,Northeast,2003,33.8,153
2026-02-28,Northeast,2325,32.9,133
2026-03-07,Northeast,1996,34.1,166
2026-03-14,Northeast,2124,35.3,120
2026-03-21,Northeast,2010,34.3,162
2026-03-28,Northeast,2108,35.0,103
2026-04-04,Northeast,2155,32.8,158
2026-04-11,Northeast,1973,35.3,145
2026-04-18,Northeast,1967,35.2,140
2026-04-25,Northeast,2076,34.3,112
2026-05-02,Northeast,2074,33.6,138
2026-05-09,Northeast,2065,33.3,139
2026-05-16,Northeast,2076,34.5,134
2026-05-23,Northeast,1946,34.1,147
2026-05-30,Northeast,2103,34.0,154
2026-06-06,Northeast,1942,31.7,144
2026-06-13,Northeast,2114,34.0,133
2026-06-20,Northeast,2175,34.8,147
2026-06-27,Northeast,1931,33.7,152
2026-07-04,Northeast,1884,26.8,127
2026-07-11,Northeast,1910,24.8,137
2026-07-18,Northeast,1854,26.0,149
2026-07-25,Northeast,1931,26.7,126
2026-08-01,Northeast,1836,27.1,120
2026-08-08,Northeast,1852,27.3,150
2026-08-15,Northeast,1947,25.7,147
2026-02-21,Midwest,1831,32.3,99
2026-02-28,Midwest,1713,31.8,141
2026-03-07,Midwest,1823,32.2,122
2026-03-14,Midwest,1854,30.7,114
2026-03-21,Midwest,1870,31.3,112
2026-03-28,Midwest,1704,30.3,104
2026-04-04,Midwest,1858,28.8,147
2026-04-11,Midwest,1670,32.7,131
2026-04-18,Midwest,1763,32.7,122
2026-04-25,Midwest,1821,28.6,104
2026-05-02,Midwest,1675,31.2,128
2026-05-09,Midwest,1737,32.2,103
2026-05-16,Midwest,1779,28.4,111
2026-05-23,Midwest,1836,29.1,113
2026-05-30,Midwest,1756,29.7,136
2026-06-06,Midwest,1790,31.7,129
2026-06-13,Midwest,1803,29.6,122
2026-06-20,Midwest,1835,30.4,108
2026-06-27,Midwest,1844,31.6,76
2026-07-04,Midwest,1556,32.4,111
2026-07-11,Midwest,1775,32.2,98
2026-07-18,Midwest,1882,29.7,91
2026-07-25,Midwest,1796,32.4,102
2026-08-01,Midwest,1719,30.3,133
2026-08-08,Midwest,1662,31.9,114
2026-08-15,Midwest,1903,30.0,100
2026-02-21,South,1947,34.4,113
2026-02-28,South,1886,31.7,111
2026-03-07,South,1852,32.6,97
2026-03-14,South,1806,32.0,119
2026-03-21,South,1880,31.4,160
2026-03-28,South,1970,32.6,103
2026-04-04,South,1967,31.7,115
2026-04-11,South,1854,33.6,126
2026-04-18,South,1963,31.8,120
2026-04-25,South,1931,32.2,119
2026-05-02,South,1969,33.1,129
2026-05-09,South,2014,32.0,126
2026-05-16,South,1958,32.1,155
2026-05-23,South,2012,30.9,102
2026-05-30,South,2076,32.8,137
2026-06-06,South,1905,32.7,130
2026-06-13,South,1887,32.2,126
2026-06-20,South,1889,32.7,118
2026-06-27,South,1981,30.9,138
2026-07-04,South,2027,32.8,131
2026-07-11,South,1974,33.0,129
2026-07-18,South,2127,31.9,123
2026-07-25,South,1985,31.7,134
2026-08-01,South,2040,30.8,129
2026-08-08,South,2045,31.2,139
2026-08-15,South,2092,31.0,140
2026-02-21,West,2527,29.0,162
2026-02-28,West,2347,29.0,169
2026-03-07,West,2401,29.6,148
2026-03-14,West,2394,29.2,140
2026-03-21,West,2445,27.2,121
2026-03-28,West,2362,29.2,180
2026-04-04,West,2453,28.4,154
2026-04-11,West,2459,29.1,153
2026-04-18,West,2321,30.2,164
2026-04-25,West,2453,30.1,189
2026-05-02,West,2290,28.1,145
2026-05-09,West,2440,29.8,162
2026-05-16,West,2461,27.7,142
2026-05-23,West,2629,30.4,165
2026-05-30,West,2361,29.7,133
2026-06-06,West,2313,28.3,138
2026-06-13,West,2422,31.1,166
2026-06-20,West,2386,28.6,174
2026-06-27,West,2442,29.0,157
2026-07-04,West,2287,28.6,130
2026-07-11,West,2405,28.7,141
2026-07-18,West,2404,29.0,128
2026-07-25,West,2433,27.9,166
2026-08-01,West,2413,27.6,175
2026-08-08,West,2392,29.9,153
2026-08-15,West,2437,28.2,163
